Full Name,Political Party,Party Short,Twitter,Notes,Image_Adress
Burak Dalgın,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/bdalgin,Dijital Dönüşüm ve Teknoloji Politikaları Başkanı,../../images/partiler/deva.png
Mehmet Emin Ekmen,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/emin_ekmen,Halkla İlişkiler Başkanı,../../images/partiler/deva.png
Mustafa Ergen,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/mustafaergen_,Eğitim Politikaları Başkanı,../../images/partiler/deva.png
Sadullah Ergin,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/erginsadullah,Teşkilat İşleri Başkanı,../../images/partiler/deva.png
Elif Esen,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/elifesendeva,Kadın Politikaları Başkanı,../../images/partiler/deva.png
Münevver Helün Fırat,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/helunfirat,Kültür ve Sanat Politikaları Başkanı,../../images/partiler/deva.png
Hasan Karal,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/hasankaraltr,Sivil Toplumla İlişkiler Başkanı,../../images/partiler/deva.png
Candan Karlıtekin,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/c_karlitekin,Yerel Yönetimler ve Şehircilik Politikaları Başkanı,../../images/partiler/deva.png
Sanem Oktar,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/sanemoktar,Kurumsal İletişim ve Tanıtım Başkanı,../../images/partiler/deva.png
Aysun Hatipoğlu Potgieter,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/hatipoglupaysun,Sağlık Politikaları Başkanı,../../images/partiler/deva.png
Evrim Rızvanoğlu,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/rizvanogluevrim,Doğa Hakları ve Çevre Politikaları Başkanı,../../images/partiler/deva.png
İdris Şahin,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/avidrissahin,Seçim İşleri Başkanı,../../images/partiler/deva.png
Doğa Şanlıoğlu,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/dogasanlioglu,Gençlik Politikaları Başkanı,../../images/partiler/deva.png
Mustafa Uçak,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/mustafaucak07,İdari ve Mali İşler Başkanı,../../images/partiler/deva.png
Nazlı Seda Vural,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/nazlisedavural,İnsan Kaynakları ve Parti İçi Eğitim Başkanı,../../images/partiler/deva.png
Mustafa Yeneroğlu,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/myeneroglu,Hukuk ve Adalet Politikaları Başkanı,../../images/partiler/deva.png
Medeni Yılmaz,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/medeniylmz,Genel Sekreter,../../images/partiler/deva.png
Ahmet Davutoğlu,GELECEK Partisi,GELECEK,https://twitter.com/Ahmet_Davutoglu,Genel Başkan,../../images/partiler/gelecek.jpg
Mustafa Nedim Yamalı,GELECEK Partisi,GELECEK,https://twitter.com/mnedimyamali,Siyasi İşler Başkanı,../../images/partiler/gelecek.jpg
Selim Temurci,GELECEK Partisi,GELECEK,https://twitter.com/SelimTemurci,Teşkilat Başkanı,../../images/partiler/gelecek.jpg
Ayhan Sefer Üstün,GELECEK Partisi,GELECEK,https://twitter.com/AyhanSeferUSTUN,Seçim ve Hukuk İşleri Başkanı,../../images/partiler/gelecek.jpg
Doğan Demir,GELECEK Partisi,GELECEK,https://twitter.com/dogandemir41,Yerel Yönetimler ve Şehircilik Başkanı,../../images/partiler/gelecek.jpg
Feridun Bilgin,GELECEK Partisi,GELECEK,https://twitter.com/FeridunBilgin64,Politika İzleme Kurulu Başkanı,../../images/partiler/gelecek.jpg
Selçuk Özdağ,GELECEK Partisi,GELECEK,https://twitter.com/selcukozdag,Sivil Toplum ve Halkla İlişkiler Başkanı,../../images/partiler/gelecek.jpg
Abdullah Başçı,GELECEK Partisi,GELECEK,https://twitter.com/abdullahbasci,Sosyal Politikalar Başkanı,../../images/partiler/gelecek.jpg
